tBodyAcc-std()-Y,tBodyAcc-mad()-Y,tBodyAcc-max()-Y,tBodyAcc-iqr()-Y,tGravityAcc-mean()-Z,tGravityAcc-max()-Z,tGravityAcc-min()-Z,fBodyAcc-mean()-Y,fBodyAcc-std()-Y,fBodyAcc-mad()-Y,fBodyAcc-max()-Y,fBodyAcc-bandsEnergy()-17;32,fBodyAccMag-mad(),fBodyAccMag-iqr(),angle(Z;gravityMean)
-0.99525842,-0.99590554,-0.94196578,-0.99603806,-0.1158856,-0.13577218,-0.092180934,-0.99342611,-0.99621617,-0.99474933,-0.99760554,-0.99997545,-0.98747473,-0.99977546,0.16286024
-0.99623776,-0.99708089,-0.94303127,-0.99808871,-0.11965332,-0.14000448,-0.092180934,-0.99499786,-0.99685543,-0.99563049,-0.99804752,-0.99998262,-0.99300967,-0.99988557,0.16543267
-0.99859653,-0.99885378,-0.94413045,-0.99858754,-0.11945235,-0.14304944,-0.091841766,-0.99784915,-0.99902339,-0.99863254,-0.99944613,-0.99999394,-0.99556168,-0.99993215,0.16529709
-0.99822604,-0.99844148,-0.94193207,-0.99815342,-0.11889701,-0.14239661,-0.090966943,-0.9981015,-0.99822971,-0.99794758,-0.99839877,-0.99998904,-0.99622836,-0.99994306,0.16489585
-0.99639413,-0.99731663,-0.94081693,-0.99822453,-0.11843093,-0.14202037,-0.090656943,-0.99621964,-0.9963833,-0.99580723,-0.9979394,-0.99997599,-0.99239429,-0.99986557,0.16457484
-0.99581447,-0.99665208,-0.93696924,-0.99699176,-0.11826838,-0.14134953,-0.090600962,-0.99494348,-0.99618528,-0.99511622,-0.99737796,-0.99997548,-0.98904718,-0.99982584,0.16448246
-0.99531257,-0.99613863,-0.93696924,-0.99675958,-0.11752757,-0.14010282,-0.090600962,-0.99436786,-0.99571149,-0.99475771,-0.99681611,-0.99997337,-0.98676218,-0.99979865,0.16398324
-0.95371281,-0.96276455,-0.85882851,-0.97598804,-0.14664468,-0.078510807,-0.14329905,-0.95107745,-0.95465216,-0.95579139,-0.95586591,-0.9987912,-0.84956542,-0.98538005,0.18373087
-0.98563184,-0.98919903,-0.93187329,-0.99488682,-0.14167883,-0.1532427,-0.14078875,-0.98199076,-0.98732723,-0.98326762,-0.98935638,-0.99988265,-0.94510476,-0.99811724,0.18022531
-0.99664261,-0.99690253,-0.94047882,-0.9964606,-0.13578742,-0.1532427,-0.11439921,-0.99509555,-0.997494,-0.99624281,-0.99849456,-0.99998926,-0.98545405,-0.99976933,0.17643031
-0.99512799,-0.99609273,-0.93314,-0.99699872,-0.14172722,-0.15902753,-0.11453062,-0.99266317,-0.99652813,-0.99457862,-0.99819415,-0.99998516,-0.99189473,-0.99984913,0.18039514
-0.98482887,-0.98773958,-0.92332341,-0.99144449,-0.14153892,-0.1607367,-0.11453062,-0.98089376,-0.9866714,-0.98368692,-0.99022859,-0.9998709,-0.96910415,-0.99912238,0.18027308
-0.98493079,-0.98814348,-0.92332341,-0.99179229,-0.13761653,-0.15681833,-0.11365364,-0.98349178,-0.98543618,-0.98312102,-0.98992698,-0.99985178,-0.96958959,-0.99916334,0.17762187
-0.99417869,-0.99464049,-0.9395407,-0.99465296,-0.13624316,-0.15654499,-0.11855014,-0.99236169,-0.99506821,-0.99247906,-0.99724699,-0.99996897,-0.96055103,-0.99896803,0.17667629
-0.99483845,-0.99484761,-0.94115988,-0.99465243,-0.14797011,-0.15654499,-0.13600727,-0.9929609,-0.99580221,-0.99339302,-0.99816544,-0.99997068,-0.96388178,-0.99912194,0.18459864
-0.99592796,-0.99621925,-0.94115988,-0.99588443,-0.16143042,-0.17148919,-0.13632347,-0.99504568,-0.99630894,-0.99530385,-0.99727019,-0.99998097,-0.98991368,-0.99984864,0.19371662
-0.99824732,-0.99848956,-0.94231923,-0.9981859,-0.16212082,-0.18215284,-0.13632347,-0.99777584,-0.99846575,-0.99811725,-0.99831306,-0.99999682,-0.99052787,-0.99986194,0.19422446
-0.99683186,-0.99737575,-0.94020073,-0.99737977,-0.15944776,-0.18193138,-0.13267095,-0.99557776,-0.99749088,-0.9961536,-0.99854689,-0.9999866,-0.985299,-0.99976518,0.1924314
-0.8938616,-0.90419152,-0.92373702,-0.9206411,0.72141371,0.67676635,0.73349484,-0.88818832,-0.89602795,-0.89102921,-0.8990559,-0.99403133,-0.85730185,-0.98627289,-0.48492763
-0.98681212,-0.98857872,-0.9247045,-0.99078766,0.71743485,0.6752476,0.73033867,-0.98350603,-0.98834378,-0.98518044,-0.99027246,-0.99987497,-0.98075362,-0.99956992,-0.4777379
-0.98882456,-0.98981889,-0.92496298,-0.99045411,0.71396105,0.67049983,0.7278468,-0.9876537,-0.98922702,-0.99195038,-0.98660832,-0.99990602,-0.99485329,-0.99991252,-0.47454684
-0.99521892,-0.99610026,-0.93934139,-0.99653832,0.71111133,0.66746776,0.72415376,-0.99325448,-0.99626481,-0.99469085,-0.99752249,-0.99997923,-0.99565194,-0.99994843,-0.47179748
-0.99576459,-0.99679572,-0.93934139,-0.99736282,0.70859517,0.6649491,0.72409163,-0.99480028,-0.99618905,-0.99575522,-0.99697218,-0.99998246,-0.99619873,-0.99995211,-0.46910421
-0.99746842,-0.99794967,-0.93996004,-0.99804196,0.7081513,0.66210538,0.72409163,-0.99683568,-0.99775437,-0.99733946,-0.99836117,-0.99998849,-0.99606117,-0.9999535,-0.46801997
-0.99612342,-0.99650874,-0.93971427,-0.99710925,0.70791099,0.66210538,0.72328048,-0.99450096,-0.99698841,-0.99602026,-0.99729088,-0.99997802,-0.99660012,-0.99995093,-0.46745477
-0.99280911,-0.99286644,-0.93151949,-0.99176264,0.70722564,0.66196886,0.72296407,-0.99207201,-0.9930404,-0.99374405,-0.99281493,-0.99994576,-0.99446875,-0.99992526,-0.46760962
-0.98930153,-0.9895529,-0.93151949,-0.9889819,0.70885242,0.6661201,0.72296407,-0.98919656,-0.98919252,-0.99121248,-0.98758029,-0.99989642,-0.99479161,-0.99992728,-0.46991662
-0.99074021,-0.99149684,-0.93238515,-0.9921374,0.71106611,0.66616929,0.72482487,-0.99229201,-0.98992323,-0.99243026,-0.98805438,-0.99991232,-0.99530731,-0.99993782,-0.47193093
-0.98371207,-0.98294369,-0.92645482,-0.98070872,0.70956997,0.66616929,0.72357813,-0.98789123,-0.98194308,-0.98671534,-0.97924891,-0.99977977,-0.98115209,-0.9997056,-0.47023905
-0.8552877,-0.87813404,-0.85973224,-0.93054546,0.7846827,0.76817992,0.78120736,-0.87591761,-0.84760862,-0.88014648,-0.84534617,-0.98814415,-0.87507951,-0.98700722,-0.54259223
-0.91832647,-0.91317856,-0.87126357,-0.9024833,0.77009784,0.72841933,0.78120736,-0.94672016,-0.90901309,-0.94091696,-0.89927819,-0.99597048,-0.92244854,-0.99660192,-0.53710455
-0.96097213,-0.96035501,-0.91101282,-0.95320987,0.77174741,0.72557553,0.78397249,-0.97911858,-0.95514997,-0.97455539,-0.94848788,-0.99898618,-0.97718751,-0.99955462,-0.53937363
-0.97238323,-0.97136371,-0.91101282,-0.96787919,0.77073753,0.72524773,0.78516172,-0.98563114,-0.96799143,-0.98336199,-0.96268704,-0.99945774,-0.98237801,-0.99968809,-0.53717273
-0.97618683,-0.97655578,-0.92544009,-0.97893807,0.77059469,0.7232765,0.78516172,-0.9846067,-0.9730806,-0.98167512,-0.96922562,-0.99958217,-0.98831462,-0.99980031,-0.53700498
-0.97149269,-0.97258458,-0.91723961,-0.97526817,0.77026141,0.7232765,0.78463898,-0.98498364,-0.96702039,-0.98081514,-0.96155689,-0.99941902,-0.98075496,-0.99965251,-0.53621417
-0.97250517,-0.97259416,-0.91723961,-0.9732529,0.76955427,0.72248831,0.78463898,-0.98055573,-0.96946212,-0.97852521,-0.96667415,-0.99946174,-0.98076203,-0.99965278,-0.53617578
-0.97290191,-0.97507433,-0.90618539,-0.9812058,0.76906401,0.72185779,0.7833631,-0.97607879,-0.97146646,-0.97686119,-0.96936507,-0.99948959,-0.97954206,-0.99957969,-0.53596492
-0.97482366,-0.97595654,-0.90618539,-0.97489705,0.76874208,0.72222194,0.7833631,-0.9856926,-0.97105402,-0.98258275,-0.96609843,-0.999539,-0.97227619,-0.99942075,-0.53542605
-0.97000881,-0.97095624,-0.90681652,-0.97450204,0.76948547,0.72236069,0.78344821,-0.97729151,-0.96717715,-0.9772312,-0.96314647,-0.99937611,-0.98105261,-0.99963501,-0.53656732
-0.9720728,-0.97321584,-0.91783235,-0.97367778,0.76868403,0.72236069,0.78195599,-0.98145542,-0.96864498,-0.97504091,-0.96711351,-0.99943677,-0.98122143,-0.99966239,-0.5355095
-0.97812842,-0.97755189,-0.91115816,-0.97557945,0.76711883,0.72110394,0.78192019,-0.98639525,-0.97509105,-0.98310696,-0.97104396,-0.99963306,-0.97143283,-0.99942853,-0.53330725
-0.96345392,-0.96242257,-0.91115816,-0.95754154,0.76781001,0.72117764,0.78192019,-0.97798891,-0.95853459,-0.9717969,-0.95405467,-0.99909195,-0.97956176,-0.99964256,-0.53444084
-0.46550359,-0.49788226,-0.17969575,-0.57605836,-0.34745672,-0.35132893,-0.33515052,-0.36219909,-0.512124,-0.38115161,-0.64736829,-0.86876091,-0.57722126,-0.84108929,0.32198559
-0.39947643,-0.43724623,-0.17969575,-0.53370135,-0.35173678,-0.357584,-0.32863525,-0.34403325,-0.42272055,-0.30445114,-0.55401998,-0.83392614,-0.56717287,-0.83834805,0.32572865
-0.46511952,-0.50000405,-0.33924244,-0.57291487,-0.3520701,-0.36558361,-0.3245199,-0.37317238,-0.50596013,-0.42014166,-0.63013258,-0.87020099,-0.58529069,-0.8254847,0.32474698
-0.51482627,-0.55371776,-0.39227892,-0.60606934,-0.35238246,-0.36455804,-0.3245199,-0.44319773,-0.54603853,-0.48246428,-0.59641239,-0.88763361,-0.61447491,-0.84414031,0.3243482
-0.50094969,-0.53721784,-0.30292117,-0.61945216,-0.34798633,-0.36074047,-0.32373788,-0.45802243,-0.51884051,-0.42540895,-0.58696269,-0.88025955,-0.62108306,-0.88100048,0.32143809
-0.45085366,-0.50463965,-0.30292117,-0.63492653,-0.34693153,-0.36074047,-0.3252523,-0.36465228,-0.48874375,-0.37431752,-0.63442768,-0.86141357,-0.60631309,-0.86842671,0.320067
-0.4186222,-0.47581568,-0.31201497,-0.61296445,-0.35116104,-0.36218137,-0.32595648,-0.30467327,-0.47013473,-0.35520205,-0.6161664,-0.85382029,-0.59051964,-0.85593557,0.3243839
-0.45242107,-0.49233366,-0.31412605,-0.5871645,-0.34765802,-0.35749289,-0.32595648,-0.36054488,-0.49312776,-0.33631591,-0.67008773,-0.86876309,-0.57498276,-0.84597542,0.3224511
-0.4857706,-0.52161537,-0.31412605,-0.57885634,-0.34119533,-0.35604537,-0.31566959,-0.41221457,-0.51775313,-0.39736596,-0.61359498,-0.88403929,-0.56893256,-0.84570991,0.31707862
-0.50869464,-0.54172117,-0.42879714,-0.63797429,-0.34217954,-0.35604537,-0.31361214,-0.45163763,-0.53302637,-0.42192126,-0.61522802,-0.89015919,-0.5937211,-0.84504764,0.31775112
-0.45619042,-0.49110489,-0.33490015,-0.55399735,-0.33813924,-0.34704238,-0.31348604,-0.36972447,-0.49425451,-0.35250684,-0.57852948,-0.86161918,-0.58948303,-0.84106914,0.31482938
-0.43733437,-0.46974228,-0.33490015,-0.46853851,-0.33812038,-0.34704238,-0.31640976,-0.40884899,-0.44888869,-0.40207568,-0.59278233,-0.84498514,-0.61477125,-0.83747019,0.3154051
-0.43251962,-0.46163523,-0.15299892,-0.53439987,-0.34412649,-0.35524841,-0.31687192,-0.37344953,-0.45749965,-0.34051703,-0.64404538,-0.85333916,-0.61424602,-0.81940786,0.32096711
-0.40927888,-0.4455898,-0.15299892,-0.52505578,-0.34381543,-0.35746507,-0.31687192,-0.33230356,-0.44245554,-0.27590139,-0.65230181,-0.85029205,-0.60807077,-0.84550089,0.31957105
-0.44507331,-0.49300835,-0.33312052,-0.64035017,-0.34177046,-0.35634779,-0.31423063,-0.39440805,-0.46629506,-0.37104995,-0.60936049,-0.86400608,-0.64768601,-0.87269692,0.31609249
-0.42328085,-0.46407453,-0.32663279,-0.53289852,-0.34763121,-0.34841752,-0.34659003,-0.36196408,-0.44924497,-0.29623475,-0.62969285,-0.84318054,-0.58980347,-0.8592576,0.32158558
-0.36324256,-0.3925193,-0.30807598,-0.44096557,-0.35292961,-0.34867276,-0.33343484,-0.30127243,-0.38931155,-0.24879976,-0.57572912,-0.8316771,-0.59832529,-0.8400117,0.32592759
-0.36385083,-0.40457024,-0.27692282,-0.501906,-0.35755328,-0.36736382,-0.33343484,-0.30074479,-0.39045269,-0.28458646,-0.57805527,-0.81612184,-0.65181305,-0.86629298,0.32915689
-0.41352818,-0.45838268,-0.27692282,-0.56282879,-0.34883514,-0.35822063,-0.32513298,-0.33452523,-0.44765315,-0.36945884,-0.62047803,-0.83941624,-0.65393685,-0.8806491,0.32312976
-0.4146128,-0.44901824,-0.3303884,-0.58279243,-0.34407411,-0.35764517,-0.31865493,-0.36039245,-0.43735312,-0.32412567,-0.62734977,-0.84848837,-0.56668953,-0.83857319,0.3199402
-0.43377813,-0.4800755,-0.28324412,-0.59957247,-0.34874928,-0.35764517,-0.3227446,-0.33518233,-0.47764545,-0.36906616,-0.63841217,-0.86357661,-0.53424141,-0.82188443,0.3228076
-0.4333206,-0.47512068,-0.1826169,-0.58105876,-0.35224337,-0.36582442,-0.32413545,-0.35473941,-0.46740777,-0.34879068,-0.61604134,-0.85880887,-0.57103699,-0.83279552,0.32519581
-0.40452582,-0.43474168,-0.1826169,-0.49837663,-0.34914283,-0.36286276,-0.32413545,-0.30959509,-0.44630271,-0.33548302,-0.56778802,-0.85130209,-0.60456552,-0.8374963,0.32295709
-0.4094154,-0.43496175,-0.21136891,-0.5154633,-0.34748446,-0.36286276,-0.31804556,-0.31532244,-0.45084437,-0.30701067,-0.57625939,-0.85414329,-0.59499256,-0.8491697,0.32222961
-0.39217785,-0.43020726,-0.21136891,-0.51359365,-0.34800133,-0.36102794,-0.32349302,-0.25809388,-0.45385376,-0.35347283,-0.58704233,-0.84815736,-0.56224364,-0.82939088,0.32205994
-0.42249491,-0.46024549,-0.34578876,-0.53563115,-0.35484126,-0.36102794,-0.33455454,-0.31649526,-0.46998356,-0.37377584,-0.6009156,-0.85043799,-0.59100657,-0.85167022,0.32573161
-0.47081672,-0.50874323,-0.42553044,-0.61708869,-0.35727178,-0.36774769,-0.33455454,-0.36007401,-0.52130592,-0.44045026,-0.59853497,-0.87495138,-0.56395396,-0.83753219,0.32828942
-0.42999883,-0.4656768,-0.36094922,-0.54751472,-0.35313681,-0.36774769,-0.32740989,-0.32787321,-0.47559038,-0.36250607,-0.56343215,-0.85029403,-0.49577365,-0.76861402,0.32610596
-0.42055075,-0.4498673,-0.36094922,-0.50477566,-0.35847392,-0.36891949,-0.3366431,-0.28943335,-0.48113639,-0.35394097,-0.62272929,-0.86157863,-0.49460403,-0.79404047,0.32929838
-0.50433982,-0.54307524,-0.45958376,-0.6060515,-0.36393656,-0.3707697,-0.33962336,-0.41980854,-0.54181626,-0.43208424,-0.60037372,-0.89488488,-0.59411728,-0.84959492,0.33304734
-0.14842192,-0.22529376,0.3969404,-0.43626803,-0.35208513,-0.35864324,-0.3431272,-0.11794108,-0.16070482,-0.063384473,-0.25026507,-0.63473883,-0.18323706,-0.47974106,0.32981976
-0.10414406,-0.1913887,0.3969404,-0.40067751,-0.36687719,-0.36616124,-0.34820765,-0.15993792,-0.083040273,-0.1447246,-0.10280864,-0.60511995,-0.2017641,-0.50394376,0.33682598
-0.15163293,-0.25822957,0.31867665,-0.5582713,-0.36635024,-0.360295,-0.34820765,-0.065999826,-0.18782489,-0.059142435,-0.35470306,-0.64661387,-0.15828865,-0.40221158,0.3343425
-0.21427827,-0.3574682,0.31867665,-0.64549868,-0.3467214,-0.35051934,-0.33941306,-0.16411022,-0.23491224,-0.11627888,-0.42209561,-0.68014604,-0.098392525,-0.42364322,0.32173046
-0.21342438,-0.33797191,0.30130368,-0.59502113,-0.34639809,-0.35051934,-0.32760475,-0.15854785,-0.23609341,-0.13769906,-0.33088361,-0.68296944,-0.27272499,-0.57193001,0.32281328
-0.10011811,-0.20601501,0.31401523,-0.47761245,-0.35102716,-0.35204937,-0.32760475,-0.052910092,-0.11939172,-0.11767471,-0.19842822,-0.59272682,-0.031621259,-0.3406352,0.32939676
-0.036102379,-0.16464831,0.39617144,-0.52753986,-0.34333335,-0.35204937,-0.32566112,0.0433649,-0.069265081,0.12504237,-0.25851269,-0.53689799,0.037997442,-0.23463173,0.32386557
-0.01717702,-0.10933883,0.39617144,-0.31811534,-0.33991253,-0.3530619,-0.31124948,0.11047787,-0.072186467,0.012229861,-0.30349102,-0.5289273,-0.05629937,-0.30415065,0.32150172
-0.076835056,-0.11876857,0.29570261,-0.24184562,-0.34434033,-0.35769389,-0.32672102,0.001959058,-0.10977322,-0.005002364,-0.17230542,-0.5901612,-0.19229921,-0.43797331,0.3258373
-0.099312158,-0.21665188,0.51196845,-0.48815858,-0.32296931,-0.32583582,-0.31784538,-0.071888243,-0.11032564,0.036396654,-0.27256266,-0.59241211,-0.13512115,-0.44545718,0.30981341
0.012124247,-0.077622736,0.31424911,-0.35889826,-0.31591962,-0.32583582,-0.29401483,0.089878036,-0.020165129,0.060722312,-0.14874616,-0.48942586,-0.088871263,-0.39445964,0.30394462
0.010712878,-0.08447514,0.36887683,-0.31985756,-0.31161616,-0.31303213,-0.29401483,0.10159014,-0.027418751,0.18835891,-0.24622636,-0.5230407,-0.096690491,-0.31368818,0.30008317
-0.024746907,-0.15905396,0.48666643,-0.48947113,-0.31171608,-0.31303213,-0.30495136,0.07562424,-0.067220893,0.087063781,-0.32172303,-0.5450803,-0.011516083,-0.24573929,0.29978027
-0.030425133,-0.18302438,0.50652654,-0.52114457,-0.32366852,-0.31999775,-0.30568241,-0.044117002,-0.025062827,0.15551541,-0.25587792,-0.52960235,0.078747899,-0.13338306,0.30837078
-0.09123551,-0.22242132,0.50652654,-0.52151817,-0.31712472,-0.31762624,-0.30568241,-0.033332505,-0.11506726,-0.01331038,-0.25990628,-0.58215341,0.016905492,-0.21311498,0.30394886
0.068433966,-0.035039721,0.74382763,-0.32820559,-0.31632798,-0.31762624,-0.30140667,0.082119104,0.062989613,0.083437565,0.049647675,-0.4416849,0.00882652,-0.22878301,0.30354333
0.15287341,0.038991635,0.74382763,-0.30952019,-0.3247456,-0.33573579,-0.30140667,0.23527605,0.11874059,0.19630455,-0.003952334,-0.34274914,0.078178156,-0.1190445,0.31095705
0.27079913,0.16613499,0.72490497,-0.13902331,-0.27065994,-0.27876267,-0.25953073,0.10017264,0.33202144,0.19394968,0.27782831,-0.16614502,0.21403711,-0.022004055,0.27311583
0.011234724,-0.081611276,0.59053608,-0.28176763,-0.27575092,-0.28118169,-0.25379297,-0.041113366,0.031152318,-0.024047582,0.006302279,-0.49236686,-0.061789364,-0.38461032,0.27488244
-0.092083866,-0.19351012,0.31597276,-0.51936449,-0.26850962,-0.27572888,-0.25233106,0.006920094,-0.13417817,0.034966478,-0.34193834,-0.60806924,-0.12884513,-0.40096068,0.26866093
0.004778881,-0.1542541,0.63015926,-0.54516247,-0.27114646,-0.27572888,-0.26192891,0.11307861,-0.041108257,0.006966552,-0.10416189,-0.50464224,0.024646747,-0.17898155,0.27252586
0.13488536,-0.022184059,0.65651325,-0.43474955,-0.26820707,-0.26486057,-0.26192891,0.25757621,0.082723631,0.4057086,-0.37915987,-0.35811133,0.20958447,0.054395697,0.27015401
